german,english,article,german_sentence,english_sentence
begeistert,enthusiastic,,Total begeistert!,Totally enthusiastic!
fasziniert,fascinated,,Fasziniert sein.,Be fascinated.
interessiert,interested,,Sehr interessiert.,Very interested!
neugierig,curious,,Neugierig sein.,Be curious.
mutig,brave,,Sehr mutig.,Very brave!
tapfer,courageous,,Tapfer kämpfen.,Fight courageously.
stark,strong,,Stark bleiben!,Stay strong!
kraftvoll,powerful,,Kraftvolle Stimme.,Powerful voice.
energisch,energetic,,Energisch handeln.,Act energetically.
lebhaft,lively,,Lebhaftes Kind.,Lively child.
aktiv,active,,Aktiv mitmachen.,Join in actively.
dynamisch,dynamic,,Dynamische Person.,Dynamic person.
ruhig,calm,,Ruhig bleiben!,Stay calm!
gelassen,relaxed,,Gelassen bleiben.,Stay relaxed.
entspannt,relaxed,,Entspannt sein.,Be relaxed.
friedlich,peaceful,,Friedliche Lösung.,Peaceful solution.
sanft,gentle,,Sanfte Berührung.,Gentle touch.
zart,tender,,Zarte Haut.,Tender skin.
weich,soft,,Weiches Kissen.,Soft pillow.
hart,hard,,Harte Arbeit.,Hard work.
streng,strict,,Strenge Regeln.,Strict rules.
diszipliniert,disciplined,,Diszipliniert sein.,Be disciplined.
ordentlich,neat,,Ordentlich sein.,Be neat.
sauber,clean,,Sauber machen.,Clean up.
schlampig,sloppy,,Schlampig arbeiten.,Work sloppily.
faul,lazy,,Faul sein.,Be lazy.
träge,sluggish,,Träge werden.,Become sluggish.
langweilig,boring,,Langweilig sein.,Be boring.
spannend,exciting,,Sehr spannend!,Very exciting!
interessant,interesting,,Sehr interessant!,Very interesting!
faszinierend,fascinating,,Faszinierend!,Fascinating!
beeindruckend,impressive,,Beeindruckend!,Impressive!
erstaunlich,amazing,,Erstaunlich!,Amazing!
unglaublich,incredible,,Unglaublich!,Incredible!
wunderbar,wonderful,,Wunderbar!,Wonderful!
schrecklich,terrible,,Schrecklich!,Terrible!
furchtbar,awful,,Furchtbar kalt.,Awfully cold.
grauenhaft,horrible,,Grauenhaft!,Horrible!
entsetzlich,dreadful,,Entsetzlich laut.,Dreadfully loud.
fürchterlich,dreadful,,Fürchterlich!,Dreadful!
ekelhaft,disgusting,,Ekelhaft!,Disgusting!
widerlich,repulsive,,Widerlich!,Repulsive!
hässlich,ugly,,Hässlich sein.,Be ugly.
scheußlich,hideous,,Scheußlich!,Hideous!
traurig,sad,,Traurig sein.,Be sad.
deprimiert,depressed,,Depressiv sein.,Be depressed.
unglücklich,unhappy,,Unglücklich sein.,Be unhappy.
verzweifelt,desperate,,Verzweifelt suchen.,Search desperately.
verärgert,annoyed,,Verärgert sein.,Be annoyed.
wütend,angry,,Wütend werden.,Get angry.
böse,angry,,Böse sein.,Be angry.
sauer,angry,,Sauer sein.,Be angry.
genervt,annoyed,,Genervt sein.,Be annoyed.
gestresst,stressed,,Gestresst sein.,Be stressed.
nervös,nervous,,Nervös sein.,Be nervous.
ängstlich,anxious,,Ängstlich sein.,Be anxious.
furchtlos,fearless,,Furchtlos sein.,Be fearless.
schüchtern,shy,,Schüchtern sein.,Be shy.
schamlos,shameless,,Schamlos lügen.,Lie shamelessly.
stolz,proud,,Stolz sein.,Be proud.
arrogant,arrogant,,Arrogant sein.,Be arrogant.
eingebildet,conceited,,Eingebildet sein.,Be conceited.
bescheiden,modest,,Bescheiden sein.,Be modest.
demütig,humble,,Demütig sein.,Be humble.
selbstbewusst,self-confident,,Selbstbewusst auftreten.,Appear self-confident.
unsicher,insecure,,Unsicher sein.,Be insecure.
verlegen,embarrassed,,Verlegen sein.,Be embarrassed.
peinlich,embarrassing,,Peinlich sein.,Be embarrassing.
komisch,funny/strange,,Komisch aussehen.,Look funny.
lächerlich,ridiculous,,Lächerlich!,Ridiculous!
albern,silly,,Albern sein.,Be silly.
ernst,serious,,Ernst sein.,Be serious.
streng,strict,,Streng sein.,Be strict.
locker,casual,,Locker bleiben.,Stay casual.
cool,cool,,Total cool!,Totally cool!
hip,cool,,Hip sein.,Be hip.
modern,modern,,Modern eingerichtet.,Furnished modern.
altmodisch,old-fashioned,,Altmodisch gekleidet.,Dressed old-fashioned.
traditionell,traditional,,Traditionelle Küche.,Traditional cuisine.
international,international,,International bekannt.,Internationally known.
lokal,local,,Lokales Bier.,Local beer.
regional,regional,,Regionale Produkte.,Regional products.
national,national,,Nationalfeiertag.,National holiday.
global,global,,Global denken.,Think global.
weltweit,worldwide,,Weltweit bekannt.,Worldwide known.
europa,Europe,,In Europa.,In Europe.
deutschland,Germany,,In Deutschland leben.,Live in Germany.
berlin,Berlin,,In Berlin.,In Berlin.
münchen,Munich,,In München.,In Munich.
hamburg,Hamburg,,In Hamburg.,In Hamburg.
köln,Cologne,,In Köln.,In Cologne.
frankfurt,Frankfurt,,In Frankfurt.,In Frankfurt.
stuttgart,Stuttgart,,In Stuttgart.,In Stuttgart.
düsseldorf,Düsseldorf,,In Düsseldorf.,In Düsseldorf.
dortmund,Dortmund,,In Dortmund.,In Dortmund.
essen,Essen,,In Essen.,In Essen.
leipzig,Leipzig,,In Leipzig.,In Leipzig.
dresden,Dresden,,In Dresden.,In Dresden.
hannover,Hanover,,In Hannover.,In Hanover.
nürnberg,Nuremberg,,In Nürnberg.,In Nuremberg.
österreich,Austria,,In Österreich.,In Austria.
wien,Vienna,,In Wien.,In Vienna.
schweiz,Switzerland,,In der Schweiz.,In Switzerland.
zürich,Zurich,,In Zürich.,In Zurich.
frankreich,France,,In Frankreich.,In France.
paris,Paris,,In Paris.,In Paris.
spanien,Spain,,In Spanien.,In Spain.
madrid,Madrid,,In Madrid.,In Madrid.
italien,Italy,,In Italien.,In Italy.
rom,Rome,,In Rom.,In Rome.
england,England,,In England.,In England.
london,London,,In London.,In London.
usa,USA,,In den USA.,In the USA.
new york,New York,,In New York.,In New York.
los angeles,Los Angeles,,In Los Angeles.,In Los Angeles.
china,China,,In China.,In China.
peking,Beijing,,In Peking.,In Beijing.
japan,Japan,,In Japan.,In Japan.
tokyo,Tokyo,,In Tokyo.,In Tokyo.
russland,Russia,,In Russland.,In Russia.
moskau,Moscow,,In Moskau.,In Moscow.
ägypten,Egypt,,In Ägypten.,In Egypt.
kairo,Cairo,,In Kairo.,In Cairo.
brasilien,Brazil,,In Brasilien.,In Brazil.
rio de janeiro,Rio de Janeiro,,In Rio.,In Rio.
australien,Australia,,In Australien.,In Australia.
sydney,Sydney,,In Sydney.,In Sydney.
deutsch,German,,Deutsch sprechen.,Speak German.
englisch,English,,Englisch lernen.,Learn English.
französisch,French,,Französisch können.,Know French.
spanisch,Spanish,,Spanisch verstehen.,Understand Spanish.
italienisch,Italian,,Italienisch essen.,Eat Italian.
chinesisch,Chinese,,Chinesisch kochen.,Cook Chinese.
japanisch,Japanese,,Japanisch lernen.,Learn Japanese.
russisch,Russian,,Russisch sprechen.,Speak Russian.
arabisch,Arabic,,Arabisch verstehen.,Understand Arabic.
portugiesisch,Portuguese,,Portugiesisch können.,Know Portuguese.
sprache,language,,Fremdsprache lernen.,Learn foreign language.
wort,word,,Neues Wort.,New word.
satz,sentence,,Langer Satz.,Long sentence.
grammatik,grammar,,Deutsche Grammatik.,German grammar.
aussprache,pronunciation,,Gute Aussprache.,Good pronunciation.
akzent,accent,,Starker Akzent.,Strong accent.
übersetzen,to translate,,Ins Deutsche übersetzen.,Translate into German.
verstehen,to understand,,Gut verstehen.,Understand well.
sprechen,to speak,,Laut sprechen.,Speak loudly.
hören,to listen,,Gut zuhören.,Listen well.
lesen,to read,,Viel lesen.,Read a lot.
schreiben,to write,,Schön schreiben.,Write nicely.
lernen,to learn,,Schnell lernen.,Learn quickly.
lehren,to teach,,Deutsch lehren.,Teach German.
fragen,to ask,,Fragen stellen.,Ask questions.
antworten,to answer,,Richtig antworten.,Answer correctly.
erklären,to explain,,Gut erklären.,Explain well.
wiederholen,to repeat,,Nochmal wiederholen.,Repeat again.
aussprechen,to pronounce,,Richtig aussprechen.,Pronounce correctly.
fehler,mistake,,Grammatikfehler.,Grammar mistake.
korrigieren,to correct,,Fehler korrigieren.,Correct mistakes.
üben,to practice,,Viel üben.,Practice a lot.
anfangen,to begin,,Jetzt anfangen.,Begin now.
aufhören,to stop,,Nie aufhören.,Never stop.
fortsetzen,to continue,,Weiter fortsetzen.,Continue.
beenden,to finish,,Schnell beenden.,Finish quickly.
fertig,ready,,Fertig sein.,Be ready.
los,start,,Los geht's!,Let's go!
weiter,continue,,Weiter so!,Keep it up!
stopp,stop,,Stopp!,Stop!
halt,stop,,Halt machen.,Make a stop.
pause,break,,Pause machen.,Take a break.
ende,end,,Das Ende.,The end.
anfang,beginning,,Am Anfang.,At the beginning.
mitte,middle,,In der Mitte.,In the middle.
oben,top,,Oben drauf.,On top.
unten,bottom,,Unten drunter.,Underneath.
links,left,,Links davon.,To the left of it.
rechts,right,,Rechts daneben.,To the right of it.
vorne,front,,Vorne stehen.,Stand in front.
hinten,back,,Hinten sitzen.,Sit in back.
innen,inside,,Drinnen sein.,Be inside.
außen,outside,,Draußen warten.,Wait outside.
nahe,near,,Ganz nahe.,Very near.
fern,far,,Weit fern.,Far away.
direkt,direct,,Direkt daneben.,Directly next to.
neben,next to,,Neben mir.,Next to me.
gegenüber,opposite,,Gegenüber sitzen.,Sit opposite.
zwischen,between,,Zwischen uns.,Between us.
hinter,behind,,Hinter dem Haus.,Behind the house.
vor,in front of,,Vor der Tür.,In front of the door.
über,above,,Über den Wolken.,Above the clouds.
unter,below,,Unter dem Tisch.,Under the table.
neben,beside,,Neben dem Bett.,Beside the bed.
bei,at/near,,Bei mir.,Near me.
in,in,,In der Stadt.,In the city.
aus,from/out of,,Aus Berlin.,From Berlin.
zu,to,,Zu dir.,To you.
nach,to/after,,Nach Hause.,Home.
von,from,,Von dort.,From there.
mit,with,,Mit dem Auto.,With the car.
ohne,without,,Ohne Geld.,Without money.
für,for,,Für dich.,For you.
gegen,against,,Gegen den Wind.,Against the wind.
um,around,,Um die Welt.,Around the world.
durch,through,,Durch den Tunnel.,Through the tunnel.
während,during,,Während der Fahrt.,During the ride.
seit,since,,Seit Montag.,Since Monday.
bis,until,,Bis Freitag.,Until Friday.
innerhalb,within,,Innerhalb einer Stunde.,Within an hour.
außerhalb,outside,,Außerhalb der Stadt.,Outside the city.
trotz,despite,,Trotz Regen.,Despite rain.
wegen,because of,,Wegen dir.,Because of you.
laut,according to,,Laut Wetterbericht.,According to the weather report.
gemäß,according to,,Gemäß Plan.,According to plan.
anstatt,instead of,,Anstatt Kaffee Tee.,Tea instead of coffee.
statt,instead of,,Statt zu laufen fahren.,Drive instead of walk.
außer,except,,Außer dir.,Except you.
einschließlich,including,,Einschließlich MwSt.,Including VAT.
ausschließlich,excluding,,Ausschließlich Barzahlung.,Cash only.
ab,from,,Ab morgen.,From tomorrow.
bis,to/until,,Bis bald!,See you soon!
von...bis,from...to,,Von Montag bis Freitag.,From Monday to Friday.
seit,since,,Seit 2020.,Since 2020.
vor,before,,Vor zwei Stunden.,Two hours ago.
nach,after,,Nach dem Essen.,After eating.
heute,today,,Heute Abend.,Tonight.
morgen,tomorrow,,Morgen früh.,Tomorrow morning.
übermorgen,day after tomorrow,,Übermorgen vielleicht.,Day after tomorrow perhaps.
gestern,yesterday,,Gestern Nacht.,Last night.
vorgestern,day before yesterday,,Vorgestern war schön.,Day before yesterday was nice.
jetzt,now,,Jetzt gleich!,Right now!
sofort,immediately,,Sofort los!,Go immediately!
gleich,soon,,Gleich da!,Be there soon!
bald,soon,,Bald fertig.,Soon finished.
später,later,,Später mehr.,More later.
früher,earlier,,Früher aufstehen.,Get up earlier.
dann,then,,Dann sehen wir.,Then we'll see.
danach,after that,,Danach schlafen.,Sleep after that.
zuvor,before that,,Zuvor essen.,Eat before that.
zuerst,first,,Zuerst denken.,Think first.
zuerst,at first,,Zuerst langsam.,At first slowly.
zuletzt,last,,Zuletzt lachen.,Laugh last.
schließlich,finally,,Schließlich doch.,Finally after all.
endlich,finally,,Endlich Feierabend!,Finally off work!
plötzlich,suddenly,,Plötzlich dunkel.,Suddenly dark.
sofort,immediately,,Sofort reagieren.,React immediately.
gleichzeitig,simultaneously,,Gleichzeitig essen und reden.,Eat and talk simultaneously.
derweil,meanwhile,,Derweil warten.,Wait meanwhile.
inzwischen,meanwhile,,Inzwischen fertig.,Meanwhile done.
vorher,beforehand,,Vorher anrufen.,Call beforehand.
nachher,afterwards,,Nachher treffen.,Meet afterwards.
immer,always,,Immer pünktlich.,Always on time.
nie,never,,Nie vergessen.,Never forget.
oft,often,,Oft kommen.,Come often.
selten,rarely,,Selten trinken.,Rarely drink.
manchmal,sometimes,,Manchmal regnet es.,Sometimes it rains.
häufig,frequently,,Häufig benutzt.,Frequently used.
gelegentlich,occasionally,,Gelegentlich mal.,Occasionally.
regelmäßig,regularly,,Regelmäßig kommen.,Come regularly.
ständig,constantly,,Ständig läuten.,Constantly ringing.
meistens,mostly,,Meistens sonnig.,Mostly sunny.
gewöhnlich,usually,,Gewöhnlich ja.,Usually yes.
normalerweise,normally,,Normalerweise nicht.,Normally not.
typischerweise,typically,,Typischerweise teuer.,Typically expensive.
üblicherweise,usually,,Üblicherweise so.,Usually like that.
ausnahmsweise,exceptionally,,Ausnahmsweise mal.,Exceptionally once.
zufällig,by chance,,Zufällig getroffen.,Met by chance.
absichtlich,on purpose,,Absichtlich langsam.,On purpose slowly.
unabsichtlich,accidentally,,Unabsichtlich fallen lassen.,Drop accidentally.
freiwillig,voluntarily,,Freiwillig mitkommen.,Come voluntarily.
zwangsweise,compulsorily,,Zwangsweise lachen.,Have to laugh.
gerne,gladly,,Gerne helfen.,Gladly help.
ungern,reluctantly,,Ungern zugeben.,Reluctantly admit.
lieber,rather,,Lieber Tee.,Rather tea.
am liebsten,preferably,,Am liebsten Kaffee.,Preferably coffee.
höchstens,at most,,Höchstens fünf.,At most five.
mindestens,at least,,Mindestens zehn.,At least ten.
etwa,about,,Etwa 20 Euro.,About 20 euros.
ungefähr,approximately,,Ungefähr richtig.,Approximately right.
circa,circa,,Circa 100.,Circa 100.
plus,plus,,Zehn plus fünf.,Ten plus five.
minus,minus,,Zwanzig minus acht.,Twenty minus eight.
mal,times,,Sechs mal sieben.,Six times seven.
geteilt durch,divided by,,Hundert geteilt durch vier.,Hundred divided by four.
gleich,equals,,Fünf plus fünf gleich zehn.,Five plus five equals ten.
prozent,percent,,Fünfzig Prozent.,Fifty percent.
halb,half,,Halb acht.,Half past seven.
viertel,quarter,,Viertel vor neun.,Quarter to nine.
drittel,third,,Ein Drittel.,One third.
ganz,whole,,Ganz Deutschland.,All of Germany.
halb,half,,Halb leer.,Half empty.
voll,full,,Voll besetzt.,Fully booked.
leer,empty,,Leer ausgehen.,Come away empty.
teilweise,partly,,Teilweise sonnig.,Partly sunny.
vollständig,completely,,Vollständig leer.,Completely empty.
ganz,quite,,Ganz nett.,Quite nice.
total,totally,,Total voll.,Totally full.
absolut,absolutely,,Absolut leer.,Absolutely empty.
völlig,completely,,Völlig fertig.,Completely done.
sehr,very,,Sehr voll.,Very full.
äußerst,extremely,,Äußerst leer.,Extremely empty.
besonders,particularly,,Besonders voll.,Particularly full.
außerordentlich,extraordinarily,,Außerordentlich gut.,Extraordinarily good.
ungeheuer,tremendously,,Ungeheuer laut.,Tremendously loud.
enorm,enormously,,Enorm teuer.,Enormously expensive.
riesig,huge,,Riesig groß.,Huge.
winzig,tiny,,Winzig klein.,Tiny.
gigantisch,gigantic,,Gigantisch!,Gigantic!
minimal,minimal,,Minimaler Preis.,Minimal price.
maximal,maximum,,Maximalgeschwindigkeit.,Maximum speed.
optimal,optimal,,Optimale Lösung.,Optimal solution.
perfekt,perfect,,Perfekt!,Perfect!
ideal,ideal,,Ideales Wetter.,Ideal weather.
exzellent,excellent,,Exzellent!,Excellent!
fantastisch,fantastic,,Fantastisch!,Fantastic!
wunderbar,wonderful,,Wunderbar!,Wonderful!
herrlich,gorgeous,,Herrliches Essen!,Gorgeous food!
traumhaft,dreamy,,Traumhaft schön.,Dreamy beautiful!
zauberhaft,enchanting,,Zauberhaft!,Enchanting!
hinreißend,ravishing,,Hinreißend!,Ravishing!
bezaubernd,charming,,Bezaubernd!,Charming!
liebenswert,lovable,,Liebenswerter Mensch.,Lovable person.
nett,nice,,Nett von dir.,Nice of you.
freundlich,friendly,,Freundliches Personal.,Friendly staff.
höflich,polite,,Höflich fragen.,Ask politely.
hilfsbereit,helpful,,Hilfsbereit sein.,Be helpful.
geduldig,patient,,Geduldig warten.,Wait patiently.
tolerant,tolerant,,Tolerant sein.,Be tolerant.
offen,open,,Offen sprechen.,Speak openly.
ehrlich,honest,,Ehrlich sein.,Be honest.
aufrichtig,sincere,,Aufrichtig gemeint.,Sincerely meant.
fair,fair,,Fair spielen.,Play fair.
gerecht,just,,Gerecht teilen.,Share fairly.
treu,loyal,,Treu bleiben.,Stay loyal.
zuverlässig,reliable,,Zuverlässiger Partner.,Reliable partner.
pünktlich,punctual,,Pünktlich kommen.,Come on time.
fleißig,diligent,,Fleißig lernen.,Study diligently.
intelligent,intelligent,,Intelligenter Mensch.,Intelligent person.
klug,smart,,Kluge Entscheidung.,Smart decision.
weise,wise,,Weise Worte.,Wise words.
kreativ,creative,,Kreative Idee.,Creative idea.
originell,original,,Originelles Geschenk.,Original gift.
witzig,witty,,Witziger Spruch.,Witty saying.
humorvoll,humorous,,Humorvoller Film.,Humorous movie.
lustig,funny,,Lustige Geschichte.,Funny story.
fröhlich,cheerful,,Fröhlicher Mensch.,Cheerful person.
heiter,merry,,Heitere Stimmung.,Merry mood.
glücklich,happy,,Glückliche Familie.,Happy family.
zufrieden,satisfied,,Zufriedener Kunde.,Satisfied customer.
stolz,proud,,Stolz auf das Ergebnis.,Proud of the result.
dankbar,grateful,,Dankbar sein.,Be grateful.
froh,joyful,,Froh über das Geschenk.,Joyful about the gift.
begeistert,enthusiastic,,Begeistert applaudieren.,Applaud enthusiastically.
fasziniert,fascinated,,Fasziniert zuschauen.,Watch fascinated.
interessiert,interested,,Interessiert zuhören.,Listen interested.
neugierig,curious,,Neugieriges Kind.,Curious child.
mutig,brave,,Mutig sein.,Be brave.
tapfer,valiant,,Tapfer kämpfen.,Fight valiantly.
stark,strong,,Stark bleiben.,Stay strong.
kraftvoll,powerful,,Kraftvoller Auftritt.,Powerful performance.
energisch,energetic,,Energisch arbeiten.,Work energetically.
lebhaft,lively,,Lebhaftes Gespräch.,Lively conversation.
aktiv,active,,Aktives Mitglied.,Active member.
dynamisch,dynamic,,Dynamische Entwicklung.,Dynamic development.
ruhig,calm,,Ruhige See.,Calm sea.
gelassen,composed,,Gelassen reagieren.,React composed.
entspannt,relaxed,,Entspannte Atmosphäre.,Relaxed atmosphere.
friedlich,peaceful,,Friedliche Zeiten.,Peaceful times.
sanft,gentle,,Sanfte Brise.,Gentle breeze.
zart,delicate,,Zarte Berührung.,Delicate touch.
weich,soft,,Weiche Landung.,Soft landing.
hart,hard,,Harte Zeiten.,Hard times.
streng,strict,,Strenge Lehrerin.,Strict teacher.
diszipliniert,disciplined,,Diszipliniertes Team.,Disciplined team.
ordentlich,tidy,,Ordentliches Zimmer.,Tidy room.
sauber,clean,,Sauberes Hemd.,Clean shirt.
schlampig,sloppy,,Schlampige Arbeit.,Sloppy work.
faul,lazy,,Fauler Tag.,Lazy day.
träge,lethargic,,Träges Gefühl.,Lethargic feeling.
langweilig,boring,,Langweiliger Film.,Boring movie.
spannend,exciting,,Spannendes Buch.,Exciting book.
interessant,interesting,,Interessanter Vortrag.,Interesting lecture.
faszinierend,fascinating,,Faszinierende Geschichte.,Fascinating story.
beeindruckend,impressive,,Beeindruckendes Gebäude.,Impressive building.
erstaunlich,astonishing,,Erstaunliche Leistung.,Astonishing performance.
unglaublich,incredible,,Unglaublicher Zufall.,Incredible coincidence.
wunderbar,wonderful,,Wunderbares Gefühl.,Wonderful feeling.
schrecklich,awful,,Schreckliches Wetter.,Awful weather.
furchtbar,terrible,,Furchtbare Nachrichten.,Terrible news.
grauenhaft,ghastly,,Grauenhafter Anblick.,Ghastly sight.
entsetzlich,dreadful,,Entsetzliche Kälte.,Dreadful cold.
fürchterlich,dreadful,,Fürchterlicher Lärm.,Dreadful noise.
ekelhaft,disgusting,,Ekelhafter Geruch.,Disgusting smell.
widerlich,repugnant,,Widerliches Essen.,Repugnant food.
hässlich,ugly,,Hässliches Gebäude.,Ugly building.
scheußlich,hideous,,Scheußliches Wetter.,Hideous weather.
traurig,sad,,Traurige Musik.,Sad music.
deprimiert,depressed,,Depressiv gestimmt.,Depressed mood.
unglücklich,unhappy,,Unglückliches Ende.,Unhappy ending.
verzweifelt,desperate,,Verzweifelt suchen.,Search desperately.
verärgert,irritated,,Verärgert sein.,Be irritated.
wütend,furious,,Wütend werden.,Get furious.
böse,mad,,Böse gucken.,Look mad.
sauer,mad,,Sauer sein.,Be mad.
genervt,annoyed,,Genervt von Lärm.,Annoyed by noise.
gestresst,stressed,,Gestresst vom Job.,Stressed from work.
nervös,nervous,,Nervös vor Prüfung.,Nervous before exam.
ängstlich,fearful,,Ängstlich sein.,Be fearful.
furchtlos,fearless,,Furchtlos vorangehen.,Go forward fearlessly.
schüchtern,shy,,Schüchtern lächeln.,Smile shyly.
schamlos,shameless,,Schamlos lügen.,Lie shamelessly.
stolz,proud,,Stolz erfüllt.,Filled with pride.
arrogant,arrogant,,Arrogantes Verhalten.,Arrogant behavior.
eingebildet,conceited,,Eingebildeter Typ.,Conceited guy.
bescheiden,modest,,Bescheiden bleiben.,Stay modest.
demütig,humble,,Demütig danken.,Thank humbly.
selbstbewusst,self-confident,,Selbstbewusst auftreten.,Appear self-confident.
unsicher,insecure,,Unsicher fühlen.,Feel insecure.
verlegen,embarrassed,,Verlegen lächeln.,Smile embarrassed.
peinlich,embarrassing,,Peinliche Situation.,Embarrassing situation.
komisch,odd,,Komisches Gefühl.,Odd feeling.
lächerlich,ridiculous,,Lächerlich aussehen.,Look ridiculous.
albern,silly,,Albern lachen.,Laugh silly.
ernst,serious,,Ernst bleiben.,Stay serious.
streng,severe,,Strenge Mine.,Severe expression.
locker,relaxed,,Locker drauf sein.,Be relaxed about it.
cool,cool,,Cool bleiben.,Stay cool.
hip,hip,,Hippe Kleidung.,Hip clothing.
modern,modern,,Modernes Design.,Modern design.
altmodisch,old-fashioned,,Altmodische Möbel.,Old-fashioned furniture.
traditionell,traditional,,Traditionelles Fest.,Traditional festival.
international,international,,Internationaler Flughafen.,International airport.
lokal,local,,Lokales Geschäft.,Local shop.
regional,regional,,Regionale Spezialitäten.,Regional specialties.
national,national,,Nationaler Feiertag.,National holiday.
global,global,,Globale Erwärmung.,Global warming.
weltweit,worldwide,,Weltweite Nachrichten.,Worldwide news.